"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1993","bootstrap multi","chromium","Mon Apr 07 15:28:32 IST 2025","passed","Mon Apr 07 15:28:34 IST 2025","","bootstramp.spec.js","",""
"","10847","Login functionality - step by step status","chromium","Mon Apr 07 15:28:40 IST 2025","passed","Mon Apr 07 15:28:50 IST 2025","","login2.spec.js","",""
"","3272","validate Get involved page","chromium","Mon Apr 07 15:28:33 IST 2025","failed","Mon Apr 07 15:28:36 IST 2025","","Get involved.spec.js","",""
"","30788","Login functionality - step by step status","chromium","Mon Apr 07 15:29:23 IST 2025","broken","Mon Apr 07 15:29:54 IST 2025","","login3.spec.js","",""
"","191","test2","chromium","Mon Apr 07 15:28:32 IST 2025","passed","Mon Apr 07 15:28:32 IST 2025","Main Test Suite > grouping1","describe2.spec.js","",""
"","196","test3","chromium","Mon Apr 07 15:28:32 IST 2025","passed","Mon Apr 07 15:28:32 IST 2025","Main Test Suite > grouping2","describe2.spec.js","",""
"","9488","validate home page","chromium","Mon Apr 07 15:28:34 IST 2025","passed","Mon Apr 07 15:28:43 IST 2025","","Get involved.spec.js","",""
"","12986","hidden options","chromium","Mon Apr 07 15:28:37 IST 2025","passed","Mon Apr 07 15:28:50 IST 2025","","login.spec.js","",""
"","400","Test1","chromium","Mon Apr 07 15:28:32 IST 2025","passed","Mon Apr 07 15:28:32 IST 2025","Group all tests in one suite","describe.spec.js","",""
"","343","test1","chromium","Mon Apr 07 15:28:32 IST 2025","passed","Mon Apr 07 15:28:32 IST 2025","Main Test Suite > grouping1","describe2.spec.js","",""
"","0","Test4","chromium","Mon Apr 07 15:28:31 IST 2025","skipped","Mon Apr 07 15:28:31 IST 2025","Group all tests in one suite","describe.spec.js","",""
"","3137","validate softstaking page","chromium","Mon Apr 07 15:28:46 IST 2025","passed","Mon Apr 07 15:28:49 IST 2025","","softstaking.spec.js","",""
"","2","Test3","chromium","Mon Apr 07 15:28:31 IST 2025","skipped","Mon Apr 07 15:28:31 IST 2025","Group all tests in one suite","describe.spec.js","",""
"","192","test4","chromium","Mon Apr 07 15:28:32 IST 2025","passed","Mon Apr 07 15:28:33 IST 2025","Main Test Suite > grouping2","describe2.spec.js","",""
"","1468","get started link","chromium","Mon Apr 07 15:28:33 IST 2025","passed","Mon Apr 07 15:28:34 IST 2025","","example.spec.ts","",""
"","2520","bootstrap","chromium","Mon Apr 07 15:28:34 IST 2025","passed","Mon Apr 07 15:28:37 IST 2025","","Get involved.spec.js","",""
"","360","Test2","chromium","Mon Apr 07 15:28:32 IST 2025","passed","Mon Apr 07 15:28:32 IST 2025","Group all tests in one suite","describe.spec.js","",""
"","6217","has title","chromium","Mon Apr 07 15:28:32 IST 2025","failed","Mon Apr 07 15:28:39 IST 2025","","example.spec.ts","",""
"","9173","validate home page","chromium","Mon Apr 07 15:28:37 IST 2025","passed","Mon Apr 07 15:28:46 IST 2025","","Homepage.spec.js","",""
